City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Sorland,NO,67.667,12.6934,49.86,78,24,12.41,few clouds
284,Tura,IN,25.5198,90.2201,80.82,84,53,4.29,broken clouds
285,Mazyr,BY,52.0495,29.2456,53.73,96,87,5.28,overcast clouds
286,Novyy Urengoy,RU,66.0833,76.6333,57.65,62,4,12.71,clear sky
287,Pandhana,IN,21.7,76.2167,79.09,81,80,6.82,broken clouds
288,Vestmanna,FO,62.1564,-7.1664,50.92,100,100,13.8,overcast clouds
289,Chimbote,PE,-9.0853,-78.5783,62.91,83,86,9.15,overcast clouds
290,Hanyang,CN,32.1371,105.5126,81.64,62,0,2.04,clear sky
291,Saquena,PE,-4.6667,-73.5167,71.4,96,66,2.53,broken clouds
292,Wexford,IE,52.3342,-6.4575,54.9,86,14,5.99,few clouds
293,Colares,PT,38.7992,-9.4469,67.75,74,0,35.01,clear sky
294,Naze,JP,28.3667,129.4833,85.12,82,76,15.68,broken clouds
295,Cambridge,CA,43.3601,-80.3127,71.74,92,75,5.75,broken clouds
296,Yar-Sale,RU,66.8333,70.8333,62.74,60,98,11.88,overcast clouds
297,Gambela,ET,8.25,34.5833,68.13,93,100,2.82,overcast clouds
298,Namatanai,PG,-3.6667,152.4333,85.1,67,74,12.68,broken clouds
299,Roald,NO,62.5833,6.1333,48.76,93,94,4.61,overcast clouds
300,Barrow,US,71.2906,-156.7887,33.82,100,100,17.27,mist
301,Tamandare,BR,-8.7597,-35.1047,72.36,87,80,4.59,broken clouds
302,Vestmannaeyjar,IS,63.4427,-20.2734,51.87,74,95,17.25,overcast clouds
303,Pankrushikha,RU,53.8319,80.3406,76.08,51,76,9.06,broken clouds
304,Sibu,MY,2.3,111.8167,84.51,74,40,3.44,scattered clouds
305,Kautokeino,NO,69.0125,23.0412,46.27,84,98,18.41,overcast clouds
306,Suntar,RU,62.1444,117.6319,88.32,31,1,10.07,clear sky
307,Bria,CF,6.5423,21.9863,68.36,95,100,1.43,light rain
308,Ardakan,IR,32.31,54.0175,89.15,40,100,5.17,overcast clouds
309,Nova Venecia,BR,-18.7106,-40.4006,64.11,94,0,2.48,clear sky
310,Garissa,KE,-0.4536,39.6401,69.33,89,79,9.69,broken clouds
311,Lorengau,PG,-2.0226,147.2712,84.63,72,50,12.37,scattered clouds
312,Wanning,CN,18.8003,110.3967,88.99,60,49,3.2,scattered clouds
313,Flin Flon,CA,54.7682,-101.865,59.18,62,73,5.5,broken clouds
314,Iwanai,JP,42.9744,140.5089,78.08,72,69,6.85,broken clouds
315,San Pedro,PH,14.35,121.0167,87.35,79,75,6.91,broken clouds
316,Cameta,BR,-2.2444,-49.4958,79.54,75,97,4.18,overcast clouds
317,Turka,UA,49.1541,23.0297,59.14,87,100,1.81,overcast clouds
318,Chernoyerkovskaya,RU,45.4331,37.7686,67.87,76,0,4.09,clear sky
319,Tera,NE,14.0078,0.7531,82.99,61,76,16.44,broken clouds
320,High Rock,BS,26.6208,-78.2833,82.89,74,52,11.97,broken clouds
321,Asau,RO,46.4333,26.4,63.52,86,10,4.03,clear sky
322,Periyapatti,IN,10.75,77.2667,78.01,71,84,8.14,broken clouds
