City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
409,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
410,Ivanivka,UA,69.1,clear sky,46.7208,34.553,Спорт Лото
411,Klyuchi,RU,76.05,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
412,Yumen,CN,88.65,broken clouds,40.2833,97.2,
413,Shenjiamen,CN,82.89,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
414,Santiago Del Estero,AR,71.02,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
415,Makokou,GA,68.43,broken clouds,0.5738,12.8642,Hôtel
416,Abu Zabad,SD,73.81,light rain,12.35,29.25,حامد محمد نور
420,Weligama,LK,78.62,overcast clouds,5.9667,80.4167,Weligama Bay Resort
422,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
423,Quatre Cocos,MU,68.11,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
424,Buala,SB,85.46,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
430,Belmonte,BR,69.49,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
431,Gonbad-E Qabus,IR,79.75,mist,37.25,55.1672,Samin Building
432,Kargasok,RU,66.47,scattered clouds,59.0556,80.8572,Hotel Kargasok
433,Yashan,CN,89.67,broken clouds,22.1975,109.9419,Xin Kaibin Guan
435,Nazas,MX,74.21,overcast clouds,25.2333,-104.1333,Hotel Río Nazas
437,Peniche,PT,65.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
438,Gaziantep,TR,71.53,clear sky,37.0594,37.3825,Novotel Gaziantep
439,Pangkalanbuun,ID,84.85,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
441,Damaturu,NG,72.73,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
442,Moranbah,AU,65.84,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
446,Sur,OM,81.05,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
449,Tibacuy,CO,73.04,overcast clouds,4.3511,-72.4564,hospedaje las palmas
450,Maningrida,AU,85.01,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
451,Sambava,MG,67.35,light rain,-14.2667,50.1667,Melrose
453,Amapa,BR,70.81,few clouds,1.0,-52.0,
454,Jardim,BR,70.25,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
455,Port Keats,AU,85.1,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
456,Xingyi,CN,72.66,broken clouds,24.1877,102.817,
460,Mogadishu,SO,75.56,broken clouds,2.0371,45.3438,Hotel Juba
462,Meulaboh,ID,81.95,overcast clouds,4.1363,96.1285,Kost Pria
463,Bakchar,RU,68.81,broken clouds,57.0186,82.0711,Gostinitsa Gostevoy Dom
464,Deskati,GR,66.96,clear sky,39.9225,21.8028,MONDEUS INN GUESTHOUSE
